Source,Target,Type,Id,Label
"BL","FT","Undirected","154","1.3.6"
"FN","ZE","Undirected","155","1.3.6"
"LI","ZE","Undirected","156","1.3.6"
"FV","ZE","Undirected","157","1.3.6"
"BL","ZE","Undirected","158","1.3.6"
"FN","LI","Undirected","159","1.3.6"
"FN","FV","Undirected","160","1.3.6"
"BL","FN","Undirected","161","1.3.6"
"FV","LI","Undirected","162","1.3.6"
"BL","LI","Undirected","163","1.3.6"
"BL","FV","Undirected","164","1.3.6"
"BL","FT","Undirected","165","1.3.7"
"FA","FT","Undirected","166","1.3.7"
"FT","LI","Undirected","167","1.3.7"
"FT","FV","Undirected","168","1.3.7"
"BL","FA","Undirected","169","1.3.7"
"BL","LI","Undirected","170","1.3.7"
"BL","FV","Undirected","171","1.3.7"
"FA","LI","Undirected","172","1.3.7"
"FA","FV","Undirected","173","1.3.7"
"FV","LI","Undirected","174","1.3.7"
"BL","ZE","Undirected","175","1.3.8"
"FV","ZE","Undirected","176","1.3.8"
"FT","ZE","Undirected","177","1.3.8"
"FA","ZE","Undirected","178","1.3.8"
"LI","ZE","Undirected","179","1.3.8"
"DA","ZE","Undirected","180","1.3.8"
"FN","ZE","Undirected","181","1.3.8"
"BL","FV","Undirected","182","1.3.8"
"BL","FT","Undirected","183","1.3.8"
"BL","FA","Undirected","184","1.3.8"
"BL","LI","Undirected","185","1.3.8"
"BL","DA","Undirected","186","1.3.8"
"BL","FN","Undirected","187","1.3.8"
"FT","FV","Undirected","188","1.3.8"
"FA","FV","Undirected","189","1.3.8"
"FV","LI","Undirected","190","1.3.8"
"DA","FV","Undirected","191","1.3.8"
"FN","FV","Undirected","192","1.3.8"
"FA","FT","Undirected","193","1.3.8"
"FT","LI","Undirected","194","1.3.8"
"DA","FT","Undirected","195","1.3.8"
"FN","FT","Undirected","196","1.3.8"
"FA","LI","Undirected","197","1.3.8"
"DA","FA","Undirected","198","1.3.8"
"FA","FN","Undirected","199","1.3.8"
"DA","LI","Undirected","200","1.3.8"
"FN","LI","Undirected","201","1.3.8"
"DA","FN","Undirected","202","1.3.8"
"DA","FV","Undirected","203","1.3.9"
"FV","ZE","Undirected","204","1.3.9"
"FN","FV","Undirected","205","1.3.9"
"DA","ZE","Undirected","206","1.3.9"
"DA","FN","Undirected","207","1.3.9"
"FN","ZE","Undirected","208","1.3.9"
"FV","WB","Undirected","209","1.3.9"
"DA","WB","Undirected","210","1.3.9"
"WB","ZE","Undirected","211","1.3.9"
"FN","WB","Undirected","212","1.3.9"
"DA","FV","Undirected","213","1.3.9"
"FV","ZE","Undirected","214","1.3.9"
"FN","FV","Undirected","215","1.3.9"
"DA","ZE","Undirected","216","1.3.9"
"DA","FN","Undirected","217","1.3.9"
"FN","ZE","Undirected","218","1.3.9"
"AZ","EP","Undirected","219","1.4.1"
"EP","TM","Undirected","220","1.4.1"
"AZ","TM","Undirected","221","1.4.1"
"FN","TM","Undirected","222","1.4.1"
"CO","TM","Undirected","223","1.4.1"
"CO","FN","Undirected","224","1.4.1"
"FN","TM","Undirected","225","1.4.1"
"AZ","CO","Undirected","226","1.4.1"
"CO","EP","Undirected","227","1.4.1"
"AZ","EP","Undirected","228","1.4.1"
"TH","TM","Undirected","229","1.4.1"
"FN","TH","Undirected","230","1.4.1"
"FN","TM","Undirected","231","1.4.1"
"CO","FN","Undirected","232","1.4.1"
"FN","NT","Undirected","233","1.4.1"
"CO","TH","Undirected","234","1.4.3"
"CO","TM","Undirected","235","1.4.3"
"TH","TM","Undirected","236","1.4.3"
"AZ","EP","Undirected","237","1.4.3"
"CO","EP","Undirected","238","1.4.3"
"AZ","CO","Undirected","239","1.4.3"
"DM","JV","Undirected","240","1.5.4"
"FF","JV","Undirected","241","1.5.6"
"JA","JV","Undirected","242","1.5.6"
"FF","JA","Undirected","243","1.5.6"
"TH","VI","Undirected","244","1.5.8"
"TM","VI","Undirected","245","1.5.8"
"CO","VI","Undirected","246","1.5.8"
"TH","TM","Undirected","247","1.5.8"
"CO","TH","Undirected","248","1.5.8"
"CO","TM","Undirected","249","1.5.8"
"FN","SF","Undirected","250","1.5.8"
"FN","SF","Undirected","251","1.5.9"
"FD","FN","Undirected","252","1.5.9"
"FL","FN","Undirected","253","1.5.9"
"FN","MT","Undirected","254","1.5.9"
"FN","VI","Undirected","255","1.5.9"
"FN","MT","Undirected","256","1.5.10"
"FB","FN","Undirected","257","1.5.10"
"FN","ID","Undirected","258","1.5.10"
"FN","MT","Undirected","259","1.5.10"
"BM","FN","Undirected","260","1.5.12"
"FN","JA","Undirected","261","1.5.12"
"JA","SG","Undirected","262","1.5.13"
"FN","JA","Undirected","263","1.5.13"
"FN","JA","Undirected","264","1.5.13"
"FN","JV","Undirected","265","1.5.13"
"JA","JV","Undirected","266","1.5.13"
"JA","JV","Undirected","267","1.5.13"
"FN","JV","Undirected","268","1.5.13"
"FN","JV","Undirected","269","1.6.1"
"TH","TM","Undirected","270","1.6.1"
"FN","JV","Undirected","271","1.6.1"
"DS","JV","Undirected","272","1.6.1"
"FN","TH","Undirected","273","1.6.1"
"JA","JV","Undirected","274","1.6.2"
"FN","JV","Undirected","275","1.7.1"
"SP","SS","Undirected","276","1.7.1"
"JV","SS","Undirected","277","1.7.1"
"FN","JV","Undirected","278","1.7.1"
"JV","SC","Undirected","279","1.7.2"
"SC","SD","Undirected","280","1.7.2"
"CI","PO","Undirected","281","1.7.2"
"JV","PO","Undirected","282","1.7.4"
"CE","JV","Undirected","283","1.7.5"
"BH","JV","Undirected","284","1.7.5"
"BW","JV","Undirected","285","1.7.5"
"JV","WH","Undirected","286","1.7.5"
"JV","WI","Undirected","287","1.7.5"
"IK","JV","Undirected","288","1.7.5"
"JV","SE","Undirected","289","1.7.5"
"JV","TE","Undirected","290","1.7.5"
"JV","RM","Undirected","291","1.7.5"
"JV","PT","Undirected","292","1.7.5"
"FN","SS","Undirected","293","1.7.6"
"DS","FN","Undirected","294","1.7.6"
"SM","SS","Undirected","295","1.7.6"
"FN","SM","Undirected","296","1.7.6"
"DS","FN","Undirected","297","1.7.6"
"DS","SS","Undirected","298","1.7.6"
"JV","LR","Undirected","299","1.7.7"
"JV","RA","Undirected","300","1.7.7"
"BC","JV","Undirected","301","1.7.7"
"AA","JV","Undirected","302","1.7.7"
"BI","JV","Undirected","303","1.7.7"
"BI","JU","Undirected","304","1.7.8"
"BI","JV","Undirected","305","1.7.8"
"CH","JV","Undirected","306","1.7.9"
"BM","JV","Undirected","307","1.7.9"
"JU","JV","Undirected","308","1.7.9"
"CH","JV","Undirected","309","1.7.9"
"CK","JV","Undirected","310","1.7.9"
"JV","PA","Undirected","311","1.7.9"
"BM","JU","Undirected","312","1.7.9"
"BM","CH","Undirected","313","1.7.9"
"BM","CK","Undirected","314","1.7.9"
"BM","PA","Undirected","315","1.7.9"
"CH","JU","Undirected","316","1.7.9"
"CK","JU","Undirected","317","1.7.9"
"JU","PA","Undirected","318","1.7.9"
"CH","CK","Undirected","319","1.7.9"
"CH","PA","Undirected","320","1.7.9"
"CK","PA","Undirected","321","1.7.9"
"CH","JU","Undirected","322","1.7.10"
"CH","PA","Undirected","323","1.7.10"
"JU","PA","Undirected","324","1.7.10"
"BI","JU","Undirected","325","1.7.10"
"BR","JU","Undirected","326","1.7.10"
"CN","JU","Undirected","327","1.7.10"
"CC","JU","Undirected","328","1.7.10"
"CH","JU","Undirected","329","1.7.10"
"BR","CN","Undirected","330","1.7.10"
"BR","CC","Undirected","331","1.7.10"
"BR","CH","Undirected","332","1.7.10"
"CC","CN","Undirected","333","1.7.10"
"CH","CN","Undirected","334","1.7.10"
"CC","CH","Undirected","335","1.7.10"
"BR","JV","Undirected","336","1.7.10"
"CN","JV","Undirected","337","1.7.10"
"CC","JV","Undirected","338","1.7.10"
"JU","JV","Undirected","339","1.7.10"
"JV","PA","Undirected","340","1.7.10"
"BM","JV","Undirected","341","1.7.10"
"BR","CN","Undirected","342","1.7.10"
"BR","CC","Undirected","343","1.7.10"
"BR","JU","Undirected","344","1.7.10"
"BR","PA","Undirected","345","1.7.10"
"BM","BR","Undirected","346","1.7.10"
"CC","CN","Undirected","347","1.7.10"
"CN","JU","Undirected","348","1.7.10"
"CN","PA","Undirected","349","1.7.10"
"BM","CN","Undirected","350","1.7.10"
"CC","JU","Undirected","351","1.7.10"
"CC","PA","Undirected","352","1.7.10"
"BM","CC","Undirected","353","1.7.10"
"JU","PA","Undirected","354","1.7.10"
"BM","JU","Undirected","355","1.7.10"
"BM","PA","Undirected","356","1.7.10"
"BR","JV","Undirected","357","1.7.11"
"CN","JV","Undirected","358","1.7.11"
"CC","JV","Undirected","359","1.7.11"
"JU","JV","Undirected","360","1.7.11"
"CH","JV","Undirected","361","1.7.11"
"JV","PA","Undirected","362","1.7.11"
"BR","CN","Undirected","363","1.7.11"
"BR","CC","Undirected","364","1.7.11"
"BR","JU","Undirected","365","1.7.11"
"BR","CH","Undirected","366","1.7.11"
"BR","PA","Undirected","367","1.7.11"
"CC","CN","Undirected","368","1.7.11"
"CN","JU","Undirected","369","1.7.11"
"CH","CN","Undirected","370","1.7.11"
"CN","PA","Undirected","371","1.7.11"
"CC","JU","Undirected","372","1.7.11"
"CC","CH","Undirected","373","1.7.11"
"CC","PA","Undirected","374","1.7.11"
"CH","JU","Undirected","375","1.7.11"
"JU","PA","Undirected","376","1.7.11"
"CH","PA","Undirected","377","1.7.11"
"FN","SS","Undirected","378","1.8.1"
"JV","SS","Undirected","379","1.8.1"
"FN","JV","Undirected","380","1.8.1"
"FN","JV","Undirected","381","1.8.2"
"DS","JV","Undirected","382","1.8.2"
"DS","FN","Undirected","383","1.8.2"
"FN","JV","Undirected","384","1.8.2"
"FN","JA","Undirected","385","1.8.2"
"JA","JV","Undirected","386","1.8.2"
"CH","JU","Undirected","387","1.8.3"
"CH","PA","Undirected","388","1.8.3"
"JU","PA","Undirected","389","1.8.3"
"JA","PA","Undirected","390","1.8.3"
"FN","JA","Undirected","391","1.8.3"
"JA","JV","Undirected","392","1.8.3"
"FN","JV","Undirected","393","1.8.3"
"FN","JV","Undirected","394","1.8.4"
"FN","JA","Undirected","395","1.8.4"
"JA","JV","Undirected","396","1.8.4"
"FN","JV","Undirected","397","1.8.4"
"JA","JV","Undirected","398","1.8.4"
"JA","JV","Undirected","399","1.8.5"
"JV","PO","Undirected","400","1.8.5"
"JV","SS","Undirected","401","1.8.5"
"JA","PO","Undirected","402","1.8.5"
"JA","SS","Undirected","403","1.8.5"
"GP","TH","Undirected","404","2.1.19"
"BZ","TH","Undirected","405","2.2.2"
"BZ","JV","Undirected","406","2.2.2"
"BS","JV","Undirected","407","2.2.3"
"CO","EP","Undirected","408","2.3.1"
"AZ","CO","Undirected","409","2.3.1"
"CO","GA","Undirected","410","2.3.1"
"AZ","EP","Undirected","411","2.3.1"
"EP","GA","Undirected","412","2.3.1"
"AZ","GA","Undirected","413","2.3.1"
"TH","TM","Undirected","414","2.3.2"
"CO","TM","Undirected","415","2.3.3"
"PZ","TM","Undirected","416","2.3.3"
"CO","PZ","Undirected","417","2.3.3"
"CO","TM","Undirected","418","2.3.3"
"AZ","EP","Undirected","419","2.3.4"
"CO","TM","Undirected","420","2.3.4"
"CO","JV","Undirected","421","2.3.5"
"JV","LP","Undirected","422","2.3.6"
"DH","JV","Undirected","423","2.3.6"
"DH","LP","Undirected","424","2.3.6"
"CF","JV","Undirected","425","2.3.6"
"CO","JV","Undirected","426","2.3.6"
"CO","JV","Undirected","427","2.3.7"
"CO","TM","Undirected","428","2.3.8"
"JV","TM","Undirected","429","2.3.8"
"JV","TH","Undirected","430","2.3.8"
"JV","TM","Undirected","431","2.3.8"
"TH","TM","Undirected","432","2.3.8"
"CO","JV","Undirected","433","2.3.8"
"CO","TM","Undirected","434","2.3.8"
"JV","TM","Undirected","435","2.3.8"
"CO","JV","Undirected","436","2.3.8"
"CO","TM","Undirected","437","2.3.8"
"JV","TM","Undirected","438","2.3.8"
"AZ","EP","Undirected","439","2.3.8"
"EP","TM","Undirected","440","2.3.8"
"AZ","TM","Undirected","441","2.3.8"
"JV","TM","Undirected","442","2.3.8"
"CO","JV","Undirected","443","2.3.8"
"CO","TM","Undirected","444","2.3.8"
"CO","TM","Undirected","445","2.3.8"
"TH","TM","Undirected","446","2.3.8"
"AZ","EP","Undirected","447","2.3.8"
"JV","TM","Undirected","448","2.3.8"
"EP","TM","Undirected","449","2.3.8"
"CO","TM","Undirected","450","2.3.8"
"JV","TM","Undirected","451","2.3.8"
"TH","TM","Undirected","452","2.3.8"
"JV","TH","Undirected","453","2.3.8"
"TH","TM","Undirected","454","2.3.8"
"CO","JV","Undirected","455","2.3.8"
"TH","TM","Undirected","456","2.3.9"
"TH","TM","Undirected","457","2.3.9"
"JV","TH","Undirected","458","2.3.9"
"JV","TM","Undirected","459","2.3.9"
"JV","TH","Undirected","460","2.3.9"
"CO","TM","Undirected","461","2.3.9"
"CO","JV","Undirected","462","2.3.9"
"TH","TM","Undirected","463","2.3.10"
"JV","TH","Undirected","464","2.3.10"
"CO","JV","Undirected","465","2.3.10"
"CO","JV","Undirected","466","2.3.11"
"CO","JV","Undirected","467","2.4.2"
"CO","JV","Undirected","468","2.4.3"
"CO","JV","Undirected","469","2.4.3"
"CO","JV","Undirected","470","2.4.4"
"JV","LL","Undirected","471","2.4.4"
"CO","LL","Undirected","472","2.4.4"
"JV","LL","Undirected","473","2.4.4"
"JA","JV","Undirected","474","2.4.5"
"CO","JV","Undirected","475","2.4.5"
"JA","JV","Undirected","476","2.4.5"
"JV","LL","Undirected","477","2.4.5"
"CO","JV","Undirected","478","2.5.1"
"JA","JV","Undirected","479","2.5.1"
"CO","JV","Undirected","480","2.5.2"
"JV","KA","Undirected","481","2.5.2"
"CO","JV","Undirected","482","2.5.3"
"CO","JV","Undirected","483","2.5.4"
"JV","SO","Undirected","484","2.5.5"
"JA","JV","Undirected","485","2.5.5"
"JA","SO","Undirected","486","2.5.5"
"CO","JV","Undirected","487","2.5.5"
"JA","SO","Undirected","488","2.5.5"
"CO","JV","Undirected","489","2.5.6"
"CO","JV","Undirected","490","2.5.7"
"CO","JV","Undirected","491","2.5.8"
"FF","JV","Undirected","492","2.5.8"
"CO","JV","Undirected","493","2.5.8"
"FF","JV","Undirected","494","2.5.9"
"CO","JV","Undirected","495","2.5.9"
"CO","FF","Undirected","496","2.5.9"
"FF","JV","Undirected","497","2.5.9"
"TH","TM","Undirected","498","2.5.10"
"JA","TH","Undirected","499","2.5.10"
"JA","TM","Undirected","500","2.5.10"
"JA","JV","Undirected","501","2.5.10"
"JA","LL","Undirected","502","2.5.10"
"JA","JV","Undirected","503","2.5.10"
"JA","SO","Undirected","504","2.5.10"
"CO","JV","Undirected","505","2.8.1"
"FF","JV","Undirected","506","2.8.1"
"CO","FF","Undirected","507","2.8.1"
"FF","MI","Undirected","508","2.8.2"
"FF","MI","Undirected","509","2.8.3"
"CO","JV","Undirected","510","2.8.4"
"FF","JV","Undirected","511","2.8.4"
"FF","GR","Undirected","512","2.8.5"
"FF","GR","Undirected","513","2.8.7"
"FF","JV","Undirected","514","2.8.7"
"FF","GR","Undirected","515","2.8.7"
"FF","MI","Undirected","516","2.8.8"
"FF","JV","Undirected","517","2.8.8"
"JV","MI","Undirected","518","2.8.8"
"CO","MI","Undirected","519","2.8.8"
"FF","MI","Undirected","520","2.8.8"
"CO","FF","Undirected","521","2.8.9"
"CO","JV","Undirected","522","2.8.9"
"FF","JV","Undirected","523","2.8.9"
"TH","TM","Undirected","524","3.1.13"
"EP","TH","Undirected","525","3.1.13"
"AZ","TH","Undirected","526","3.1.13"
"EP","TM","Undirected","527","3.1.13"
"AZ","TM","Undirected","528","3.1.13"
"AZ","EP","Undirected","529","3.1.13"
"GI","MN","Undirected","530","3.2.6"
"MG","MV","Undirected","531","3.2.8"
"MG","TG","Undirected","532","3.2.8"
"GI","MG","Undirected","533","3.2.8"
"MA","MG","Undirected","534","3.2.8"
"GI","MA","Undirected","535","3.2.8"
"BT","GI","Undirected","536","3.3.1"
"BT","LA","Undirected","537","3.3.1"
"GI","MG","Undirected","538","3.3.1"
"MA","MG","Undirected","539","3.3.1"
"GI","MA","Undirected","540","3.3.1"
"GP","WP","Undirected","541","3.3.2"
"AM","GP","Undirected","542","3.3.2"
"GP","NP","Undirected","543","3.3.2"
"GP","MP","Undirected","544","3.3.2"
"GI","MA","Undirected","545","3.3.2"
"GP","MA","Undirected","546","3.3.2"
"AM","GP","Undirected","547","3.3.2"
"GP","MM","Undirected","548","3.3.2"
"GP","MA","Undirected","549","3.3.2"
"GP","MM","Undirected","550","3.3.2"
"MA","MM","Undirected","551","3.3.2"
"BT","MA","Undirected","552","3.3.3"
"GI","MA","Undirected","553","3.3.4"
"MA","WP","Undirected","554","3.3.4"
"AM","GP","Undirected","555","3.3.4"
"DV","GP","Undirected","556","3.3.4"
"GP","WP","Undirected","557","3.3.4"
"AM","DV","Undirected","558","3.3.4"
"AM","WP","Undirected","559","3.3.4"
"DV","WP","Undirected","560","3.3.4"
"MA","MM","Undirected","561","3.3.5"
"GI","MA","Undirected","562","3.3.5"
"GI","MG","Undirected","563","3.3.5"
"MA","MG","Undirected","564","3.3.5"
"GI","MA","Undirected","565","3.3.7"
"MA","MG","Undirected","566","3.3.7"
"GI","MG","Undirected","567","3.3.7"
"MG","TG","Undirected","568","3.3.7"
"MA","TG","Undirected","569","3.3.7"
"GI","MA","Undirected","570","3.3.8"
"GI","MG","Undirected","571","3.3.8"
"GI","MA","Undirected","572","3.3.8"
"GI","MG","Undirected","573","3.3.8"
"BO","MA","Undirected","574","3.4.2"
"BO","MA","Undirected","575","3.4.2"
"CR","MA","Undirected","576","3.4.2"
"BO","CR","Undirected","577","3.4.2"
"CR","MA","Undirected","578","3.4.3"
"BA","MA","Undirected","579","3.4.3"
"CM","MA","Undirected","580","3.4.3"
"BA","CM","Undirected","581","3.4.3"
"EN","MA","Undirected","582","3.4.3"
"CR","MA","Undirected","583","3.4.3"
"CR","EN","Undirected","584","3.4.3"
"EN","MA","Undirected","585","3.4.4"
"BO","GT","Undirected","586","3.4.4"
"BA","JO","Undirected","587","3.4.4"
"GT","JO","Undirected","588","3.4.4"
"BA","GT","Undirected","589","3.4.4"
"CO","CR","Undirected","590","3.4.4"
"BO","CO","Undirected","591","3.4.5"
"BO","MA","Undirected","592","3.4.5"
"BO","CR","Undirected","593","3.4.5"
"BO","EN","Undirected","594","3.4.5"
"BA","BO","Undirected","595","3.4.5"
"CO","MA","Undirected","596","3.4.5"
"CO","CR","Undirected","597","3.4.5"
"CO","EN","Undirected","598","3.4.5"
"BA","CO","Undirected","599","3.4.5"
"CR","MA","Undirected","600","3.4.5"
"EN","MA","Undirected","601","3.4.5"
"BA","MA","Undirected","602","3.4.5"
"CR","EN","Undirected","603","3.4.5"
"BA","CR","Undirected","604","3.4.5"
"BA","EN","Undirected","605","3.4.5"
"EN","MA","Undirected","606","3.4.5"
"CO","MA","Undirected","607","3.4.5"
"CO","EN","Undirected","608","3.4.5"
"EN","MA","Undirected","609","3.4.5"
"CR","MA","Undirected","610","3.4.6"
"MM","PL","Undirected","611","3.5.4"
"CR","MA","Undirected","612","3.5.5"
"MA","MM","Undirected","613","3.5.5"
"MA","SR","Undirected","614","3.5.5"
"GI","MG","Undirected","615","3.5.6"
"GI","MG","Undirected","616","3.5.6"
"GI","TG","Undirected","617","3.5.6"
"MG","TG","Undirected","618","3.5.6"
"GI","TG","Undirected","619","3.5.6"
"CO","MA","Undirected","620","3.6.1"
"JV","MA","Undirected","621","3.6.1"
"CO","MA","Undirected","622","3.6.1"
"CO","JV","Undirected","623","3.6.1"
"JV","MA","Undirected","624","3.6.2"
"CO","MA","Undirected","625","3.6.2"
"CO","JV","Undirected","626","3.6.2"
"CO","MA","Undirected","627","3.6.3"
"CR","MA","Undirected","628","3.6.4"
"JV","MA","Undirected","629","3.6.4"
"CO","MA","Undirected","630","3.6.4"
"CO","JV","Undirected","631","3.6.4"
"BU","CR","Undirected","632","3.6.5"
"BU","MA","Undirected","633","3.6.5"
"CO","MA","Undirected","634","3.6.5"
"JV","MA","Undirected","635","3.6.5"
"CO","JV","Undirected","636","3.6.5"
"CO","MA","Undirected","637","3.6.6"
"JV","MA","Undirected","638","3.6.6"
"CO","JV","Undirected","639","3.6.6"
"CO","MA","Undirected","640","3.6.6"
"CR","MA","Undirected","641","3.6.6"
"JP","MA","Undirected","642","3.6.6"
"CR","JP","Undirected","643","3.6.6"
"JV","MA","Undirected","644","3.6.7"
"CO","MA","Undirected","645","3.6.7"
"CO","JV","Undirected","646","3.6.7"
"CO","MA","Undirected","647","3.6.8"
"JV","MA","Undirected","648","3.6.8"
"CO","JV","Undirected","649","3.6.8"
"CO","MA","Undirected","650","3.6.9"
"JV","MA","Undirected","651","3.6.9"
"CO","JV","Undirected","652","3.6.9"
"MA","PS","Undirected","653","3.6.9"
"JV","MA","Undirected","654","3.6.9"
"CO","MA","Undirected","655","3.6.9"
"CO","JV","Undirected","656","3.6.9"
"MA","PS","Undirected","657","3.6.9"
"GU","QU","Undirected","658","3.7.3"
"GU","QU","Undirected","659","3.7.4"
"EP","MA","Undirected","660","3.8.3"
"EP","MA","Undirected","661","3.8.4"
"TH","TM","Undirected","662","3.8.6"
